_RAJ2000;_DEJ2000;Vmag;Sp;Rad;r_Diam
001.2908;+45.2292; 6.70;A1VN          ; 1.9e+00;F4
001.3337; -5.7075; 4.61;K0III         ; 1.4e+01;H23
001.3337; -5.7075; 4.62;K1III         ; 1.4e+01;W1
001.4217;+45.8097; 8.97;M0V           ; 6.5e-01;J3
001.4217;+45.8097; 8.93;K6V           ; 6.5e-01;J3
001.3237;-67.8325; 8.45;K5V           ; 7.0e-01;J3
001.5658;+58.4367; 7.20;G8V           ; 8.9e-01;J3
001.5658;+58.4367; 5.97;G5V           ; 1.0e+00;J3
001.5658;+58.4367; 6.54;DG3           ; 9.3e-01;L12
001.5658;+58.4367; 7.30;DG8           ; 7.6e-01;L12
001.5379;-29.1514; 7.89;A0VN          ; 2.0e+00;F4
001.5800;-49.0753;11.50;              ; 5.2e-01;J3
001.5800;-49.0753; 5.69;G1IV          ; 1.2e+00;J3
001.6104;+64.1961; 5.44;B8            ; 4.2e+00;W1
001.6533;+29.0214; 6.14;K0V           ; 9.1e-01;J3
001.6533;+29.0214; 6.14;K0V           ; 8.5e+01;W1
001.7087;-23.1075; 6.17;A7V           ; 1.8e+00;W1
001.7825;-30.5617; 8.64;A1VN          ; 1.9e+00;F4
001.8262;-17.3869; 6.18;A3            ; 2.0e+00;W1
001.8262;-17.3869; 6.19;A6VN          ; 1.3e+00;F4
001.8854;-23.8186; 8.69;G0            ; 7.8e-01;J3
002.0504; -2.4478; 6.07;K1III         ; 3.8e+01;H23
002.0971;+29.0906; 2.02;B9P           ; 4.0e+00;S2
002.0971;+29.0906; 2.06;B8IVP         ;        ;G28
002.0971;+29.0906; 2.15;A0P           ; 1.4e+00;H1
002.0971;+29.0906; 2.02;B9IIIP        ; 3.6e+00;B19
002.0971;+29.0906; 2.34;B9P           ;        ;O6
002.0971;+29.0906; 2.06;B8IVP         ; 5.3e+00;S14
002.1704;+36.6272; 6.21;F5V           ; 1.0e+00;J3
002.1396;-17.5781; 6.37;M1            ; 5.4e+01;W1
002.2171;+25.4631; 6.23;K0III         ; 1.2e+01;W1
002.2946;+59.1497; 2.27;F2III         ;        ;B53
002.2946;+59.1497; 2.27;F2III         ;        ;B52
002.2946;+59.1497; 2.27;F2IV          ; 2.5e+00;J3
002.2946;+59.1497; 2.25;F2IV          ; 2.9e+00;G3
002.2946;+59.1497; 2.42;F5            ; 1.8e+00;H1
002.2946;+59.1497; 2.25;F2IV          ; 1.0e+00;F1
002.2946;+59.1497; 3.27;F2III-IV      ;        ;O6
002.2946;+59.1497; 2.27;F2III-IV      ; 2.8e+00;G14
002.2508;+28.2475; 6.13;A4V           ; 1.6e+00;F3
002.3525;-45.7475; 3.87;K0III         ; 1.2e+01;W1
002.3525;-45.7475; 3.88;K0III         ; 5.7e+00;J3
002.5092;+11.1458; 5.53;B8V           ; 2.6e+00;F4
002.5800;+46.0722; 5.05;F2II          ; 1.7e+01;W1
002.6783;-12.5800; 5.94;K1V           ; 4.2e+00;W1
002.8162;-15.4681; 4.88;F6V           ; 1.4e+00;W1
002.8162;-15.4681; 4.89;F6V           ; 1.1e+00;J3
002.9333;-35.1331; 5.24;F4V           ; 1.6e+00;W1
002.9333;-35.1331; 5.23;F4V           ; 1.2e+00;F4
002.8879;-58.9097; 8.34;G4V           ; 7.7e-01;J3
003.0417;-17.9383; 5.28;K5III         ; 4.8e+01;W1
003.2542;+72.5219;11.60;WC8           ; 3.3e-01;L26
003.2092;+37.6936; 6.52;B2V           ; 4.5e+00;W1
003.3092;+15.1836; 2.83;B2IV          ; 6.2e+00;U4
003.3092;+15.1836; 2.83;B2IV          ;        ;O6
003.3092;+15.1836; 2.83;B2IV          ; 6.9e+00;W1
003.3092;+15.1836; 2.87;B2.5IV        ;        ;C1
003.3092;+15.1836; 2.87;B2            ; 6.1e+00;H1
003.5096;+33.2061; 6.21;A1V           ; 1.8e+00;F4
003.5096;+33.2061; 6.03;A1V           ; 2.5e+00;W1
003.6508;+20.2067; 4.94;MA            ; 3.1e+01;H1
003.6508;+20.2067; 4.80;M2III         ; 5.6e+01;W1
003.6600;-18.9328; 4.42;M1III         ; 5.4e+01;W1
003.6600;-18.9328; 4.44;M3III         ;        ;O6
003.7329;+22.2842; 6.03;A0V           ; 2.7e+00;W1
003.7329;+22.2842; 6.20;A0V           ; 2.0e+00;F3
003.7271; -9.5694; 5.74;B9            ; 3.1e+00;W1
003.7942;+27.2833; 6.35;A1VN          ; 1.8e+00;F4
004.0371;-31.4464; 5.66;K5III         ; 4.8e+01;W1
004.1762;-20.2100; 6.50;B8            ; 3.0e+00;W1
004.2246;-52.6511; 6.84;G2V           ; 8.5e-01;J3
004.2729;+38.6817; 4.44;A2            ; 1.7e+00;H1
004.2729;+38.6817; 4.61;A2V           ;        ;M14
004.2729;+38.6817; 4.61;A2V           ; 1.7e+00;F2
004.2729;+38.6817; 4.61;A2V           ; 2.2e+00;W1
004.3158; -4.4489; 8.70;K0            ;        ;B43
004.3187;-43.8528; 7.95;G5IV          ; 5.4e-01;J3
004.2017;-78.7803; 6.76;F5            ;        ;W1
004.5954;+44.0231;11.04;M6VE          ; 1.9e-01;L6
004.5954;+44.0231;11.04;M6VE          ; 2.4e-01;J3
004.5954;+44.0231; 8.08;M1V           ; 4.8e-01;J3
004.5954;+44.0231; 8.07;M1V           ;        ;O6
004.5954;+44.0231; 8.07;M1V           ; 4.1e-01;L6
004.5954;+44.0231;11.04;M6            ; 1.9e-01;P30
004.5954;+44.0231; 8.07;M1            ; 4.1e-01;P30
004.5954;+44.0231;11.04;M6            ; 2.2e-01;C36
004.4296;+51.4331; 5.91;O8.5          ; 1.5e+01;P3
004.4296;+51.4331;     ;O8.5          ; 9.4e+00;P3
004.4296;+51.4331;     ;O8NK          ; 1.6e+01;P4
004.4296;+51.4331; 6.08;O8.5III       ; 1.3e+01;S19
004.4296;+51.4331; 6.08;O8NK          ; 2.4e+01;P4
004.4296;+51.4331; 6.08;O9III         ; 1.4e+01;W4
004.4296;+51.4331;     ;O9III         ; 8.9e+00;W4
004.4296;+51.4331; 6.08;O8            ; 1.2e+01;G2
004.4296;+51.4331;     ;O8            ; 1.2e+01;G2
004.4296;+51.4331;     ;O8.5III       ; 1.4e+01;S19
004.3862;-19.0511; 6.44;F0            ; 1.6e+00;W1
004.4954;-13.4556; 6.54;G2V           ; 9.9e-01;J3
004.5821;+36.7853; 4.53;A2V           ; 2.2e+00;W1
004.5821;+36.7853; 4.53;A2V           ; 1.7e+00;F2
004.5821;+36.7853; 4.51;A2            ; 1.0e+00;H1
004.6596;+31.5172; 5.74;A1V           ; 2.5e+00;W1
004.6746; -8.0531; 6.45;G0            ; 1.7e+00;W1
004.6746; -8.0531; 6.45;G5V           ; 9.5e-01;J3
004.8279;+59.1392;     ;G             ; 3.1e+00;M13
004.8279;+59.1392; 7.22;B9V           ; 3.2e+00;M13
